CookerStat, GenerateAssetRegistry=0.023492, Initialize=0.123482, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5F8CBD9437CBBBA0DFD83948F2E1076__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=1.468841, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B05F41E5457B352A8901DC9470F4E900__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.462817, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A42F1E3D48AFB198DDF5D89A819D7164__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=1.352284, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4530D9714CD4867EEADC4D8E64E615E0__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.314338, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F11CAE942F1D87856B5D683DD3833F6__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=328, Duration=1.335420, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AB92587945A29B549B873F9F5E1E853A__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.351379, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5C45B0F448A19660FB129BD69C3A399__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=473, Duration=1.694422, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7C7620D84FD9B34B9C42E6B6C5BE8AE9__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.358308, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EB5820B54BCA5D7941C9BA81BF6FD348__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.333311, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA0F54BC4BB2E5B01BCF269F05B5AFF7__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=1.315840, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC69765D4D300186F63DC99329D91E2C__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.418542, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_727692E14C32629AF1DC55B504CAE296__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=1021, Duration=1.364030, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A7F6D9DA421ADD6C020616B768F5C1B4__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=359, Duration=3.245484, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE1FDABC4A040483F074EF977000A841__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=466, Duration=1.845609, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A0BA0A004EA12241E9C91A97561D3B80__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.341745, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C3461EC4F9C6948C6AF568B771E30BD__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=654, Duration=1.532689, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E964DEF422D930BD1B98FAE8EE39499__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=416, Duration=3.200605, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_063392FB49AAE60C4BA7A3B5508FAE91__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.678761, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_428AEE4A488C926B332F48BD3B78F050__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=720, Duration=1.745924, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5E5DC964388FFA5DF8BF58DFB8169FE__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=3.014781, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_977A216A43DC3795BAF403949DE5C265__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=837, Duration=1.916993, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_87E4D48C42886364D184488E67EDFE41__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.767606, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47CD6AF2489C57F28913779C1B718577__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=404, Duration=3.007855, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7041F0AC4590EAD50783F19B4473FBBF__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=803, Duration=3.300596, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_014CB7E846A2B8F25A65BDA2EB10A2FE__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.508594, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBE7D594475E822A3633BEAF7A6336D7__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=3.546059, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D75B5ABA4B9BEEDD5A56BB93FBDB68E9__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.543533, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23248DF34F519367FC2F838611C28252__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=416, Duration=1.503777, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDDC9707487B5503420AA6AAEFF1A59C__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=48.305775, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_012323AA482272DABCC82D9B2F44DA75__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=328, Duration=1.318250, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A00540BC4A24A814803A14B38B4C71B8__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=3.849342, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
