CookerStat, GenerateAssetRegistry=0.029817, Initialize=0.132218, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2365B5DC4C029469E9D34A949CE59B9A__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=777, Duration=3.319874, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68D79DB84659D04A951145AB90A79F59__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=665, Duration=3.792722, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E0F06DD423366576BA7B2814256EBA4__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=347, Duration=3.379811, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_826D00F446698B9D746E08B7C81F4D6B__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=539, Duration=3.944818, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FAC4DD4A4258002062C05C962944B72F__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=813, Duration=3.397577, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_41C0ADC84EF649B4577F8D8AF1A2F4F4__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=549, Duration=4.033062, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A75B18B4423A684979B8CB37C1B228D__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=699, Duration=3.269579, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AEF76994AA819A67475CD9ACDC21A61__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=701, Duration=3.334031, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8042A7C74605AF44CAC65E8C444C7324__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=549, Duration=3.687609, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_54B2FAD84A5C4F8EED385BBFE2E1F581__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1603, Duration=3.458716, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B0CFB7F4FDB36CD4788BCA6F5B2ACC2__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1245, Duration=3.438238, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA23AC074F4B2DACE154A2AD9309A461__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.547168, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8107BA840F7D3E04780F89C27CA1D20__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1758, Duration=4.145097, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F3461684836C5CC0A0491936A193C17__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=397, Duration=3.353302, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D5F7B9A4489D90370536EC9873E534F0__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.546266, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4CC1E1454901E6DDE9BE7BB2D82DF61E__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=3.294576, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DE8C08E48C3D4E92F3380A7C31F0F4B__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1241, Duration=4.276711, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFDFCDDD419BD0D856F095971EB71310__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.818830, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A753490C4EF6F90F5350B9AEDFF7ED44__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=4.003849, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE2F1E1C4E1999CBC0CE148FF614215A__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1203, Duration=3.739413, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D5A653E4A70F588DC330CA71CD5CEE4__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.241474, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B01C2D3148BF960B449D60B67206234A__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=3.875546, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FB7FBFEF41F7E9CA2BEAA1AF8F97D522__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1217, Duration=3.488533, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_980E11BC406EC3C70430BF9F604EDB3F__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=4.143290, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36C3C00B46888CA9083B23B7C3D59602__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=492, Duration=3.426794, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42BB80A34F29FB9A54FB3897EDBB702C__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=793, Duration=3.349990, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA2316A64E1B97671EA3D29174FF6D28__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=611, Duration=3.736701, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A24AA85A43741C3F998745B29C7E62D2__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=611, Duration=3.657795, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E00BDE814224E35828CA93BC83612EC4__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=485, Duration=4.270088, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C951F48E4C24AEEFAE11F6B5F4826AEC__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.116788, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A7A787DD47C336C5880F0F8356B74EE8__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=409, Duration=4.069499, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FE44223A472BECC51032749FFBECF7AE__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=499, Duration=4.327010, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7837DB9245E77EC91B01149EB33816A3__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1437, Duration=3.302708, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D1E899E412943577DF6229A9B285680__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1181, Duration=4.111066, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6EB667E84FCE8E74EBDD0899D05EF608__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=535, Duration=3.575873, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
