CookerStat, GenerateAssetRegistry=0.024632, Initialize=0.123434, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EA7475654A3F0317CF337087F56E59A8__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.376037, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E30C367489519B0405DB385035C155A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=732, Duration=3.445346, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4538FF67423D64C1E32D2AAE8DB3FFCB__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=1.456294, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D2666A644049BD56E9AD2697533AD438__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.417551, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_08B52FDE48A5121BE9FC4E8E592E40A5__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=397, Duration=4.011866, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_71D1E0FA4DDBB7EA04AFF894186A0440__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=849, Duration=3.192388, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_76B853F8455ED3F07ECF3797E3271C2D__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=3.322467, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6E48296C4FE5F2F70CCE709B45442313__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=378, Duration=1.469854, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C91380E243D6E87E217FD69F64459EA4__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=454, Duration=6.943826, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D2CB42941B1F0AF995B25A7806C67E4__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.772072, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F2C3452643D8859E8BC097B2F9F9EDE8__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=5492, Duration=3.498204, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F5CC58B34D979095B8AE1F8FCDBA5F96__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=3741, Duration=18.773243, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F54354A24C034443A4CDC9B0F866FC8A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=5171, Duration=3.445901, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5DDAA9BC411A90D706BA3A9EC635610D__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=1318, Duration=3.742028, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
