CookerStat, GenerateAssetRegistry=0.022139, Initialize=0.122603, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD89460243A2B7B68695C0A1EF2B5C9C__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=732, Duration=1.712572, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9BBF8AFC49C977D60E583CB9FD8DA4E9__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.814693, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B3057F5047672B283D906A980415B46F__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.458507, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EDFEEB0C4B1CBD5C4E9293BEA9BDE6C4__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=837, Duration=1.916263, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3D2B47F348C429C3EEACC68A117C3FBF__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=3.926072, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_159FB98A47A5CCA51E79C9ACCDDECC08__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=404, Duration=1.753256, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6079537846AFA88D5FB831A87B55B3BA__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=803, Duration=1.795322, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66A2C6F8463022FD7E09109D32003AAB__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.540426, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7FF285784CF60CFB7A7251A75F8E1B62__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.700114, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E1BB6375470F7D72332D85B6EBC014AF__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.794491, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68BED736407AF5D97875259256F10A43__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=416, Duration=1.548454, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C1F471754A9750788075A3B1CDCAA6EB__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.594949, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1B2F084A4C36770E1B5C3D8648B255D3__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=328, Duration=1.556479, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90A00D524C8BC6F34339A8BB270E8722__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.705099, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
