CookerStat, GenerateAssetRegistry=0.023246, Initialize=0.118174, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4D78BA4B40C88EA55ADEC8B665AC6751__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=473, Duration=3.596455, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8FA1D20E47BA44B3339AF5B33FC8D90E__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.464993, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F188C14476B3EFC51D253A72CDF8FC0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.377263, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E71FE10C40FF235710AADE8B0A3E89BA__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=1.441903, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A6822724CD5A68337B53A9F2A9868B0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=4.206427, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7FC3B28A4FC149CE9525BC85ABA28BAD__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.383078, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6C0E8D54324980F93194E856FCC234B__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=359, Duration=3.611125, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2354B8494572D9A6D452DC957DEE65F1__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=466, Duration=2.299849, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B1939D54B2D49A43AB1CDBB15BF78B0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.659282, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_06C42D034364AF0D8C164DBD498329B4__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=654, Duration=1.660541, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7C01130745B4CE8870535888046D379E__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=416, Duration=1.583602, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90625D89408971B1983D5B86DD19AF9E__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.628716, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF1365AB42B7D7F27C0CB984F342CCFF__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=720, Duration=4.311871, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB0F52374A86DDCFE058139AA283DDDA__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=3.901444, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_594AE2BC487D0B45ECD47FBB5022070A__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=837, Duration=3.672842, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_24AB68694CA5094B50AB75B98DADB1C4__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.743134, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_06FA12C4489A150404BF7B9C119B96B0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=492, Duration=1.747165, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14A341094002A04D6CA7BDA27CCF3703__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=1.644492, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F712DD0481C75916D193693FDBC7771__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.386952, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E6AC0C24D6CBE9DE0CDE5A5EC0F11F4__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=416, Duration=4.124783, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4B5D50B5440C74BC6103EFB6069B3583__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=328, Duration=1.402605, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E93AFF0641C4183499C0338058FFCEEC__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=1486, Duration=1.668569, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21ECB34143380F68D06A0C9725C07285__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.629822, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5ECE55054ADEF687EB071CA854078DE9__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=1318, Duration=4.316855, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79B1FC6047D73494923BEEBC7BBABF15__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=397, Duration=4.593886, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBB6191E49D743492F7DD390F9017790__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=442, Duration=4.510585, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
